Raumordnungregion;Patente_BevX1000;Patente_Median;Patente_Bev_min;Patente_Bev_max;Arbeitslose;Arbeitslose_Median;Arbeitslose_Min;Arbeitslose_Max;Hochqual Arbeitnehmer ;Hochqual_Median;Hochqual_Min;Hochqual_Max;Ältere_Entwicklung;Ältere_Median;Ältere_Min;Ältere_Max;BIP_bev_2006_2011;BIP_Median_2006_2011;BIP_Min_2006_2011;BIP_Max_2006_2011
101;0,60;0,63;0,11;2,31;8,3;7,25;3,2;15,3;8,3;8,2;3,9;18,2;4,85;4,15;0,53;6,89;12,2;12,5;2,6;32,7
102;0,25;0,63;0,11;2,31;9,4;7,25;3,2;15,3;4,6;8,2;3,9;18,2;6,59;4,15;0,53;6,89;13,8;12,5;2,6;32,7
103;0,42;0,63;0,11;2,31;10,2;7,25;3,2;15,3;6,5;8,2;3,9;18,2;5,31;4,15;0,53;6,89;9,8;12,5;2,6;32,7
104;0,83;0,63;0,11;2,31;5,7;7,25;3,2;15,3;6,5;8,2;3,9;18,2;5,91;4,15;0,53;6,89;4,6;12,5;2,6;32,7
105;0,63;0,63;0,11;2,31;7,7;7,25;3,2;15,3;5,2;8,2;3,9;18,2;5,73;4,15;0,53;6,89;11,5;12,5;2,6;32,7
201;0,92;0,63;0,11;2,31;8,6;7,25;3,2;15,3;13,4;8,2;3,9;18,2;6,73;4,15;0,53;6,89;7,6;12,5;2,6;32,7
301;0,58;0,63;0,11;2,31;8,2;7,25;3,2;15,3;11,2;8,2;3,9;18,2;3,39;4,15;0,53;6,89;20,3;12,5;2,6;32,7
302;0,41;0,63;0,11;2,31;6,4;7,25;3,2;15,3;5,7;8,2;3,9;18,2;3,8;4,15;0,53;6,89;8,8;12,5;2,6;32,7
303;0,13;0,63;0,11;2,31;9,4;7,25;3,2;15,3;6;8,2;3,9;18,2;3,33;4,15;0,53;6,89;9,8;12,5;2,6;32,7
304;0,37;0,63;0,11;2,31;4,9;7,25;3,2;15,3;5,5;8,2;3,9;18,2;6,89;4,15;0,53;6,89;21,7;12,5;2,6;32,7
305;0,72;0,63;0,11;2,31;8,9;7,25;3,2;15,3;9,2;8,2;3,9;18,2;2,14;4,15;0,53;6,89;11,9;12,5;2,6;32,7
306;0,57;0,63;0,11;2,31;5,9;7,25;3,2;15,3;6,2;8,2;3,9;18,2;5,26;4,15;0,53;6,89;10;12,5;2,6;32,7
307;0,78;0,63;0,11;2,31;9;7,25;3,2;15,3;10,7;8,2;3,9;18,2;3,71;4,15;0,53;6,89;9,5;12,5;2,6;32,7
308;0,54;0,63;0,11;2,31;8,7;7,25;3,2;15,3;7,9;8,2;3,9;18,2;2,62;4,15;0,53;6,89;9,9;12,5;2,6;32,7
309;0,32;0,63;0,11;2,31;8,2;7,25;3,2;15,3;7;8,2;3,9;18,2;5,6;4,15;0,53;6,89;14,8;12,5;2,6;32,7
310;0,30;0,63;0,11;2,31;7,1;7,25;3,2;15,3;6,9;8,2;3,9;18,2;4,83;4,15;0,53;6,89;16,5;12,5;2,6;32,7
311;0,47;0,63;0,11;2,31;6,1;7,25;3,2;15,3;7;8,2;3,9;18,2;3,99;4,15;0,53;6,89;11,3;12,5;2,6;32,7
312;0,14;0,63;0,11;2,31;9;7,25;3,2;15,3;5,4;8,2;3,9;18,2;4,6;4,15;0,53;6,89;14,4;12,5;2,6;32,7
313;0,46;0,63;0,11;2,31;8,2;7,25;3,2;15,3;6,4;8,2;3,9;18,2;4,74;4,15;0,53;6,89;10,9;12,5;2,6;32,7
401;0,30;0,63;0,11;2,31;11,1;7,25;3,2;15,3;12,5;8,2;3,9;18,2;2,4;4,15;0,53;6,89;4,6;12,5;2,6;32,7
501;0,69;0,63;0,11;2,31;8,6;7,25;3,2;15,3;10,5;8,2;3,9;18,2;1,11;4,15;0,53;6,89;9;12,5;2,6;32,7
502;0,63;0,63;0,11;2,31;7,2;7,25;3,2;15,3;6,6;8,2;3,9;18,2;4,65;4,15;0,53;6,89;16,8;12,5;2,6;32,7
503;0,96;0,63;0,11;2,31;8;7,25;3,2;15,3;8,1;8,2;3,9;18,2;3,3;4,15;0,53;6,89;12,5;12,5;2,6;32,7
504;0,55;0,63;0,11;2,31;9,8;7,25;3,2;15,3;8,2;8,2;3,9;18,2;1,75;4,15;0,53;6,89;10,3;12,5;2,6;32,7
505;0,76;0,63;0,11;2,31;6,7;7,25;3,2;15,3;14,9;8,2;3,9;18,2;3,06;4,15;0,53;6,89;20,3;12,5;2,6;32,7
506;0,40;0,63;0,11;2,31;11,6;7,25;3,2;15,3;9;8,2;3,9;18,2;1,75;4,15;0,53;6,89;14,1;12,5;2,6;32,7
507;0,69;0,63;0,11;2,31;10,4;7,25;3,2;15,3;9,4;8,2;3,9;18,2;1,75;4,15;0,53;6,89;16,6;12,5;2,6;32,7
508;1,14;0,63;0,11;2,31;9,2;7,25;3,2;15,3;11,1;8,2;3,9;18,2;3,12;4,15;0,53;6,89;10,4;12,5;2,6;32,7
509;0,34;0,63;0,11;2,31;11,9;7,25;3,2;15,3;7,3;8,2;3,9;18,2;2,3;4,15;0,53;6,89;16,9;12,5;2,6;32,7
510;1,03;0,63;0,11;2,31;9;7,25;3,2;15,3;12,7;8,2;3,9;18,2;3,52;4,15;0,53;6,89;8,3;12,5;2,6;32,7
511;0,55;0,63;0,11;2,31;5,6;7,25;3,2;15,3;8,4;8,2;3,9;18,2;4,83;4,15;0,53;6,89;14,2;12,5;2,6;32,7
512;0,93;0,63;0,11;2,31;7,3;7,25;3,2;15,3;9;8,2;3,9;18,2;4,24;4,15;0,53;6,89;9,2;12,5;2,6;32,7
513;0,90;0,63;0,11;2,31;6,6;7,25;3,2;15,3;7,1;8,2;3,9;18,2;3,4;4,15;0,53;6,89;8,8;12,5;2,6;32,7
601;0,62;0,63;0,11;2,31;6,9;7,25;3,2;15,3;8,7;8,2;3,9;18,2;1,75;4,15;0,53;6,89;8,9;12,5;2,6;32,7
602;0,54;0,63;0,11;2,31;7,8;7,25;3,2;15,3;8,1;8,2;3,9;18,2;3,11;4,15;0,53;6,89;6,6;12,5;2,6;32,7
603;0,30;0,63;0,11;2,31;6,2;7,25;3,2;15,3;6,5;8,2;3,9;18,2;4,72;4,15;0,53;6,89;15,1;12,5;2,6;32,7
604;1,07;0,63;0,11;2,31;6,7;7,25;3,2;15,3;14,8;8,2;3,9;18,2;3,99;4,15;0,53;6,89;4,8;12,5;2,6;32,7
605;1,31;0,63;0,11;2,31;6,1;7,25;3,2;15,3;12,8;8,2;3,9;18,2;2,63;4,15;0,53;6,89;7,9;12,5;2,6;32,7
701;0,89;0,63;0,11;2,31;5,8;7,25;3,2;15,3;5,8;8,2;3,9;18,2;2,66;4,15;0,53;6,89;10,6;12,5;2,6;32,7
702;1,50;0,63;0,11;2,31;6,2;7,25;3,2;15,3;10,8;8,2;3,9;18,2;2,34;4,15;0,53;6,89;14,6;12,5;2,6;32,7
703;2,27;0,63;0,11;2,31;6;7,25;3,2;15,3;8,8;8,2;3,9;18,2;2,28;4,15;0,53;6,89;16;12,5;2,6;32,7
704;0,44;0,63;0,11;2,31;4,5;7,25;3,2;15,3;6,4;8,2;3,9;18,2;3,5;4,15;0,53;6,89;12,6;12,5;2,6;32,7
705;0,80;0,63;0,11;2,31;7,7;7,25;3,2;15,3;6,8;8,2;3,9;18,2;0,67;4,15;0,53;6,89;10,8;12,5;2,6;32,7
801;1,49;0,63;0,11;2,31;4,2;7,25;3,2;15,3;9,9;8,2;3,9;18,2;5,76;4,15;0,53;6,89;18,3;12,5;2,6;32,7
802;1,31;0,63;0,11;2,31;4,3;7,25;3,2;15,3;10,5;8,2;3,9;18,2;5,34;4,15;0,53;6,89;18,4;12,5;2,6;32,7
803;0,78;0,63;0,11;2,31;5,1;7,25;3,2;15,3;7,3;8,2;3,9;18,2;4,97;4,15;0,53;6,89;19;12,5;2,6;32,7
804;1,35;0,63;0,11;2,31;5;7,25;3,2;15,3;8,5;8,2;3,9;18,2;3,87;4,15;0,53;6,89;10,7;12,5;2,6;32,7
805;1,06;0,63;0,11;2,31;5,1;7,25;3,2;15,3;11,4;8,2;3,9;18,2;3,45;4,15;0,53;6,89;11,6;12,5;2,6;32,7
806;1,27;0,63;0,11;2,31;5,1;7,25;3,2;15,3;10,1;8,2;3,9;18,2;2,94;4,15;0,53;6,89;11,6;12,5;2,6;32,7
807;0,86;0,63;0,11;2,31;5,7;7,25;3,2;15,3;6,3;8,2;3,9;18,2;3,99;4,15;0,53;6,89;11,2;12,5;2,6;32,7
808;2,06;0,63;0,11;2,31;5,3;7,25;3,2;15,3;8,8;8,2;3,9;18,2;4,53;4,15;0,53;6,89;17,5;12,5;2,6;32,7
809;1,47;0,63;0,11;2,31;5,3;7,25;3,2;15,3;6,5;8,2;3,9;18,2;3,88;4,15;0,53;6,89;15,1;12,5;2,6;32,7
810;1,98;0,63;0,11;2,31;5,2;7,25;3,2;15,3;15,1;8,2;3,9;18,2;4,84;4,15;0,53;6,89;9,6;12,5;2,6;32,7
811;1,03;0,63;0,11;2,31;5;7,25;3,2;15,3;9,1;8,2;3,9;18,2;3,88;4,15;0,53;6,89;14,1;12,5;2,6;32,7
812;2,12;0,63;0,11;2,31;6;7,25;3,2;15,3;14,3;8,2;3,9;18,2;3,41;4,15;0,53;6,89;5,4;12,5;2,6;32,7
901;0,78;0,63;0,11;2,31;4,5;7,25;3,2;15,3;6,8;8,2;3,9;18,2;5,26;4,15;0,53;6,89;16,7;12,5;2,6;32,7
902;0,88;0,63;0,11;2,31;5;7,25;3,2;15,3;8,1;8,2;3,9;18,2;4,23;4,15;0,53;6,89;13,1;12,5;2,6;32,7
903;1,08;0,63;0,11;2,31;4,7;7,25;3,2;15,3;6,2;8,2;3,9;18,2;4,16;4,15;0,53;6,89;8,5;12,5;2,6;32,7
904;0,79;0,63;0,11;2,31;4,2;7,25;3,2;15,3;6,2;8,2;3,9;18,2;4,72;4,15;0,53;6,89;14,1;12,5;2,6;32,7
905;0,37;0,63;0,11;2,31;5,3;7,25;3,2;15,3;5,2;8,2;3,9;18,2;4,68;4,15;0,53;6,89;17,9;12,5;2,6;32,7
906;1,69;0,63;0,11;2,31;6;7,25;3,2;15,3;12,9;8,2;3,9;18,2;3,92;4,15;0,53;6,89;15,6;12,5;2,6;32,7
907;0,83;0,63;0,11;2,31;3,2;7,25;3,2;15,3;10,4;8,2;3,9;18,2;4,9;4,15;0,53;6,89;32,7;12,5;2,6;32,7
908;0,41;0,63;0,11;2,31;4,1;7,25;3,2;15,3;5,1;8,2;3,9;18,2;4,65;4,15;0,53;6,89;24,3;12,5;2,6;32,7
909;0,87;0,63;0,11;2,31;4,8;7,25;3,2;15,3;6,1;8,2;3,9;18,2;3,93;4,15;0,53;6,89;14,5;12,5;2,6;32,7
910;2,31;0,63;0,11;2,31;4,7;7,25;3,2;15,3;18,2;8,2;3,9;18,2;5,86;4,15;0,53;6,89;11,2;12,5;2,6;32,7
911;0,56;0,63;0,11;2,31;6,4;7,25;3,2;15,3;5,8;8,2;3,9;18,2;3,47;4,15;0,53;6,89;16,2;12,5;2,6;32,7
912;0,76;0,63;0,11;2,31;5,2;7,25;3,2;15,3;6,3;8,2;3,9;18,2;4,36;4,15;0,53;6,89;14,4;12,5;2,6;32,7
913;1,04;0,63;0,11;2,31;3,9;7,25;3,2;15,3;7,7;8,2;3,9;18,2;4,69;4,15;0,53;6,89;10,4;12,5;2,6;32,7
914;0,40;0,63;0,11;2,31;5,8;7,25;3,2;15,3;4,6;8,2;3,9;18,2;4,49;4,15;0,53;6,89;14,5;12,5;2,6;32,7
915;1,57;0,63;0,11;2,31;4,5;7,25;3,2;15,3;8,4;8,2;3,9;18,2;4,53;4,15;0,53;6,89;24,5;12,5;2,6;32,7
916;1,26;0,63;0,11;2,31;4,4;7,25;3,2;15,3;6,6;8,2;3,9;18,2;5,12;4,15;0,53;6,89;19,5;12,5;2,6;32,7
917;0,55;0,63;0,11;2,31;4,4;7,25;3,2;15,3;3,9;8,2;3,9;18,2;4,06;4,15;0,53;6,89;18,1;12,5;2,6;32,7
918;0,98;0,63;0,11;2,31;4,1;7,25;3,2;15,3;8,7;8,2;3,9;18,2;2,49;4,15;0,53;6,89;12,6;12,5;16,9;32,7
1001;0,34;0,63;0,11;2,31;7,7;7,25;3,2;15,3;8,2;8,2;3,9;18,2;0,53;4,15;0,53;6,89;7,2;12,5;16,9;32,7
1101;0,58;0,63;0,11;2,31;14;7,25;3,2;15,3;14,4;8,2;3,9;18,2;4,81;4,15;0,53;6,89;17,1;12,5;16,9;32,7
1201;0,61;0,63;0,11;2,31;9,8;7,25;3,2;15,3;11,1;8,2;3,9;18,2;5,9;4,15;0,53;6,89;19;12,5;16,9;32,7
1202;0,33;0,63;0,11;2,31;13,2;7,25;3,2;15,3;9,4;8,2;3,9;18,2;5,24;4,15;0,53;6,89;16,6;12,5;2,6;32,7
1203;0,19;0,63;0,11;2,31;12,6;7,25;3,2;15,3;9,5;8,2;3,9;18,2;3,71;4,15;0,53;6,89;8,6;12,5;2,6;32,7
1204;1,00;0,63;0,11;2,31;13,1;7,25;3,2;15,3;8,2;8,2;3,9;18,2;5,36;4,15;0,53;6,89;13,3;12,5;2,6;32,7
1205;0,19;0,63;0,11;2,31;13,9;7,25;3,2;15,3;7,9;8,2;3,9;18,2;5,32;4,15;0,53;6,89;6,9;12,5;2,6;32,7
1301;0,25;0,63;0,11;2,31;15,3;7,25;3,2;15,3;8;8,2;3,9;18,2;5,18;4,15;0,53;6,89;2,8;12,5;2,6;32,7
