krs09,krs09name,ROR08,ROR08name,kkz1,kkz2
1001000,"Flensburg, Stadt",102,Schleswig-Holstein Nord,1001,01001
1002000,"Kiel, Stadt",101,Schleswig-Holstein Mitte,1002,01002
1003000,"Lübeck, Stadt",103,Schleswig-Holstein Ost,1003,01003
1004000,"Neumünster, Stadt",101,Schleswig-Holstein Mitte,1004,01004
1051000,Dithmarschen,105,Schleswig-Holstein Süd-West,1051,01051
1053000,Herzogtum Lauenburg,104,Schleswig-Holstein Süd,1053,01053
1054000,Nordfriesland,102,Schleswig-Holstein Nord,1054,01054
1055000,Ostholstein,103,Schleswig-Holstein Ost,1055,01055
1056000,Pinneberg,104,Schleswig-Holstein Süd,1056,01056
1057000,Plön,101,Schleswig-Holstein Mitte,1057,01057
1058000,Rendsburg-Eckernförde,101,Schleswig-Holstein Mitte,1058,01058
1059000,Schleswig-Flensburg,102,Schleswig-Holstein Nord,1059,01059
1060000,Segeberg,104,Schleswig-Holstein Süd,1060,01060
1061000,Steinburg,105,Schleswig-Holstein Süd-West,1061,01061
1062000,Stormarn,104,Schleswig-Holstein Süd,1062,01062
2000000,"Hamburg, Stadt",201,Hamburg,2000,02000
3101000,"Braunschweig, Stadt",301,Braunschweig,3101,03101
3102000,"Salzgitter, Stadt",301,Braunschweig,3102,03102
3103000,"Wolfsburg, Stadt",301,Braunschweig,3103,03103
3151000,Gifhorn,301,Braunschweig,3151,03151
3152000,Göttingen,305,Göttingen,3152,03152
3153000,Goslar,301,Braunschweig,3153,03153
3154000,Helmstedt,301,Braunschweig,3154,03154
3155000,Northeim,305,Göttingen,3155,03155
3156000,Osterode am Harz,305,Göttingen,3156,03156
3157000,Peine,301,Braunschweig,3157,03157
3158000,Wolfenbüttel,301,Braunschweig,3158,03158
3241000,Region Hannover,307,Hannover,3241,03241
3251000,Diepholz,302,Bremen-Umland,3251,03251
3252000,Hameln-Pyrmont,308,Hildesheim,3252,03252
3254000,Hildesheim,308,Hildesheim,3254,03254
3255000,Holzminden,305,Göttingen,3255,03255
3256000,Nienburg (Weser),307,Hannover,3256,03256
3257000,Schaumburg,307,Hannover,3257,03257
3351000,Celle,313,Südheide,3351,03351
3352000,Cuxhaven,303,Bremerhaven,3352,03352
3353000,Harburg,306,Hamburg-Umland-Süd,3353,03353
3354000,Lüchow-Dannenberg,309,Lüneburg,3354,03354
3355000,Lüneburg,309,Lüneburg,3355,03355
3356000,Osterholz,302,Bremen-Umland,3356,03356
3357000,Rotenburg (Wümme),306,Hamburg-Umland-Süd,3357,03357
3358000,Soltau-Fallingbostel,313,Südheide,3358,03358
3359000,Stade,306,Hamburg-Umland-Süd,3359,03359
3360000,Uelzen,309,Lüneburg,3360,03360
3361000,Verden,302,Bremen-Umland,3361,03361
3401000,"Delmenhorst, Stadt",302,Bremen-Umland,3401,03401
3402000,"Emden, Stadt",312,Ost-Friesland,3402,03402
3403000,"Oldenburg (Oldenburg), Stadt",310,Oldenburg,3403,03403
